Name,Type,Suit,Number,Upright Meaning,Reversed Meaning,Keywords
The Fool,Major Arcana,,0,"New beginnings, innocence, spontaneity, free spirit","Recklessness, taken advantage of, inconsideration","Beginnings, Adventure, Innocence"
The Magician,Major Arcana,,1,"Manifestation, resourcefulness, power, inspired action","Manipulation, poor planning, untapped talents","Creativity, Power, Skill"
The High Priestess,Major Arcana,,2,"Intuition, sacred knowledge, divine feminine","Secrets, disconnected from intuition, withdrawal","Intuition, Mystery, Wisdom"
The Empress,Major Arcana,,3,"Femininity, beauty, nature, nurturing, abundance","Dependence, smothering, emptiness","Nurturing, Abundance, Creativity"
The Emperor,Major Arcana,,4,"Authority, structure, control, fatherhood","Domination, excessive control, lack of discipline","Authority, Structure, Stability"
The Hierophant,Major Arcana,,5,"Tradition, conformity, morality, guidance","Rebellion, subversiveness, new approaches","Tradition, Spirituality, Teaching"
The Lovers,Major Arcana,,6,"Love, union, relationships, values alignment","Imbalance, misalignment of values, disharmony","Love, Partnership, Choices"
The Chariot,Major Arcana,,7,"Control, willpower, success, determination","Aggression, lack of control, obstacles","Determination, Victory, Control"
Strength,Major Arcana,,8,"Courage, persuasion, influence, compassion","Self-doubt, weakness, insecurity","Courage, Strength, Compassion"
The Hermit,Major Arcana,,9,"Soul-searching, introspection, being alone","Isolation, loneliness, withdrawal","Introspection, Wisdom, Solitude"
Wheel of Fortune,Major Arcana,,10,"Good luck, karma, life cycles, destiny","Bad luck, resistance to change, breaking cycles","Fate, Cycles, Change"
Justice,Major Arcana,,11,"Fairness, truth, law, cause and effect","Dishonesty, unfairness, imbalance","Fairness, Truth, Law"
The Hanged Man,Major Arcana,,12,"Letting go, suspension, restriction, new perspectives","Stalling, indecision, delaying tactics","Letting Go, Sacrifice, New Perspectives"
Death,Major Arcana,,13,"Endings, transformation, transition, letting go","Resistance to change, personal transformation","Transformation, Endings, Transition"
Temperance,Major Arcana,,14,"Balance, moderation, patience, purpose","Imbalance, excess, lack of self-control","Balance, Moderation, Purpose"
The Devil,Major Arcana,,15,"Addiction, materialism, playfulness","Release, restoring control, freedom","Bondage, Materialism, Temptation"
The Tower,Major Arcana,,16,"Sudden change, upheaval, chaos, revelation","Disaster avoided, delayed disaster, fear of change","Upheaval, Sudden Change, Revelation"
The Star,Major Arcana,,17,"Hope, faith, purpose, renewal","Lack of faith, despair, discouragement","Hope, Inspiration, Renewal"
The Moon,Major Arcana,,18,"Illusion, fear, anxiety, subconscious","Release of fear, unhappiness, confusion","Illusion, Fear, Subconscious"
The Sun,Major Arcana,,19,"Positivity, fun, warmth, success","Temporary depression, lack of success","Positivity, Success, Joy"
Judgment,Major Arcana,,20,"Reflection, reckoning, awakening, inner calling","Self-doubt, lack of self-awareness, refusal of self-examination","Reflection, Reckoning, Awakening"
The World,Major Arcana,,21,"Completion, integration, accomplishment, travel","Incompletion, no closure, lack of achievement","Completion, Accomplishment, Integration"
Ace of Cups,Minor Arcana,Cups,1,"Love, new relationships, compassion, creativity","Emotional loss, blocked creativity, emptiness","Love, New Beginnings, Emotions"
Two of Cups,Minor Arcana,Cups,2,"Partnership, unity, love, mutual attraction","Imbalance, broken communication, tension","Partnership, Unity, Connection"
Three of Cups,Minor Arcana,Cups,3,"Celebration, friendship, creativity, community","Overindulgence, gossip, isolation","Celebration, Friendship, Community"
Four of Cups,Minor Arcana,Cups,4,"Apathy, contemplation, disconnectedness, reevaluation","Boredom, missed opportunities, mindfulness","Apathy, Contemplation, Reevaluation"
Five of Cups,Minor Arcana,Cups,5,"Loss, regret, disappointment, bereavement","Acceptance, moving on, forgiveness","Loss, Regret, Disappointment"
Six of Cups,Minor Arcana,Cups,6,"Nostalgia, childhood memories, innocence, joy","Living in the past, unrealistic expectations","Nostalgia, Memories, Innocence"
Seven of Cups,Minor Arcana,Cups,7,"Choices, dreams, illusion, fantasy","Confusion, distraction, overwhelmed","Choices, Dreams, Illusion"
Eight of Cups,Minor Arcana,Cups,8,"Abandonment, withdrawal, retreat, seeking deeper meaning","Fear of change, holding on, aimlessness","Abandonment, Withdrawal, Seeking"
Nine of Cups,Minor Arcana,Cups,9,"Satisfaction, emotional stability, gratitude, wish come true","Greed, dissatisfaction, indulgence","Satisfaction, Emotional Stability"
Ten of Cups,Minor Arcana,Cups,10,"Happiness, emotional fulfillment, celebration, harmony","Disconnection, broken relationships, disharmony","Happiness, Fulfillment, Harmony"
Page of Cups,Minor Arcana,Cups,11,"Creative opportunities, intuitive messages, curiosity","Emotional immaturity, insecurity, creative blocks","Creativity, Intuition, Curiosity"
Knight of Cups,Minor Arcana,Cups,12,"Romance, charm, idealism, following the heart","Unrealistic expectations, disappointment, jealousy","Romance, Charm, Idealism"
Queen of Cups,Minor Arcana,Cups,13,"Compassionate, caring, emotionally stable, intuitive","Emotional insecurity, co-dependency, manipulation","Compassion, Care, Intuition"
King of Cups,Minor Arcana,Cups,14,"Emotional balance and control, generosity, diplomacy","Moodiness, manipulation, volatility","Emotional Balance, Control, Diplomacy"
